,Komentar
108,"@DemokrasiMartir Semua hanya untuk memperkaya Nadiem saja. Semoga ada kebijakan lain yang bisa lebih dirasakan oleh mahasiswa apalagi sekarang lagi ramai dengan Guru MarketPlace, seolah-olah diperjualbelikan, tega.."
109,PAN Minta Mendikbud Ristek Nadiem Kaji Ulang Wacana Marketplace untuk Guru. Kok guru mau dijadikan kaya barang ya? https://t.co/LkUBf88twp
110,"2024 Guru Bisa “Dibeli”, Inilah Ide Marketplace Nadiem Markarim! https://t.co/Tr3h5XBe16"
111,"@kompascom ngurusin begini aja mas nadiem ga bisa, udah wacanain marketplace guru"
112,pantes nadiem mau buat marketplace utk guru
113,Hebat! Marketplace Guru ala Mendikbudristek Nadiem Makarim: Solusi Inovatif untuk Guru Honorer di Indonesia https://t.co/4kBjdNGRdY
114,"Mentri Nadiem Wacanakan Marketplace untuk Guru, Komisi X DPR RI Langsung Bereaksi https://t.co/ZZI2b2j3VE"
115,"Infografis Marketplace Guru, Terobosan Sistem Rekrutmen ala Nadiem Makarim https://t.co/bsfwgq6qSB"
116,"Menteri pendidikan, Kebudayaan, Riset, dan Teknologi (Mendikbud Ristek) Nadiem Makarim berencana akan meluncurkan marketplace guru. 
https://t.co/Fy3UNmjh7i"
117,"Gagasan marketplace guru diklaim Nadiem Makarim sebagai upaya mengatasi masalah tenaga guru honorer. Ini sudah terjadi bertahun-tahun.
https://t.co/zu18BDs4rp"
118,F-PKS DPRD Sumut Tolak Istilah 'Marketplace Guru' Nadiem Makarim https://t.co/IA2B71F9kp
119,"Walau begitu, bukan berarti Nadiem harus mengambil langkah jalan pintas seperti rencana marketplace guru itu. Nadiem sendiri berdalih, strategi ini ia lakukan utk mengatasi kebutuhan guru &amp; guru honorer, selain persoalan birokrasi. https://t.co/vBxz8VUL1Z"
120,Tak ada yg salah dgn rencana Mendikbudristek Nadiem Makarim yg hendak menyediakan aplikasi marketplace guru di thn depan. Langkah ini ia lakukan utk membereskan birokrasi yg ribet &amp; bertele-tele. https://t.co/iFPJwvDuSD
121,"@nadaliciasihna @edwinbazz ""Ada tambahan insentif untuk guru di daerah khusus berupa kenaikan pangkat lebih cepat atau prioritas di marketplace untuk posisi selanjutnya setelah ikatan dinas selesai"" kata Nadiem Makarim, Rabu (24/5/2023). -&gt; soal ngajajar di pelosok."
122,"@arieftiroo ""Ada tambahan insentif untuk guru di daerah khusus berupa kenaikan pangkat lebih cepat atau prioritas di marketplace untuk posisi selanjutnya setelah ikatan dinas selesai"" kata Nadiem Makarim, Rabu (24/5/2023). -&gt; soal ngajajar di pelosok. Masih ga mau, mas? 😄"
123,"@ferifrendi @Mythicalforest ""Ada tambahan insentif untuk guru di daerah khusus berupa kenaikan pangkat lebih cepat atau prioritas di marketplace untuk posisi selanjutnya setelah ikatan dinas selesai"" kata Nadiem. -&gt; soal ngajar di pelosok. tapi, akankah guru mau?"
124,"Mendikbub Nadiem Makarim buat sistem marketplace untuk guru di tahun 2024.

#UdahConnxBelum

https://t.co/UC9bbFXkpe"
125,"Masih banyak guru honorer yang belum mendapat formasi tapi sudah lulus passing grade.

Marketplace yang dicetuskan oleh Nadiem bukanlah sebuah solusi untuk merekrut guru honorer.

Pasalnya, isitlah marketplace itu untuk komoditi bukan guru yang merupakan sebuah profesi.
@Official_PAN @ZUL_Hasan 
https://t.co/EisM27usbH"
126,"@AREAJULID @nadiemmakarim #Nadiem coba ini diurus soal pendidikan dari pada urus guru di marketplace,kalau gak bisa atau gak sanggup ngundurin diri aja jadi #MenteriPendidikan ."
127,"Sementara masih ada sekitar 60 ribu lebih guru honorer yang belum mendapatkan SK perlu diperhatikan

PAN Minta Mendikbud Mengkaji Ulang Wacana Marketplace untuk Guru

Partai Amanat Nasional (PAN) mengajak Menteri Pendidikan, Budaya, Riset, dan Tekonologi, Nadiem Anwar Makarim untuk mengkaji ulang wacana perihal marketplace untuk guru.

Hal itu menjadi perhatian PAN karena menilai cara tersebut bukan menjadi solusi utama untuk menyelesaikan masalah perekrutan guru.
@Official_PAN @ZUL_Hasan https://t.co/EisM27usbH"
128,"Nadiem Tawarkan Program Marketplace Buat Guru Honorer PPPK, Apa Itu? https://t.co/8hMeMvuL29"
129,"Rekrutmen guru dibikin sistem marketplace? 🤔

Mendikbud Nadiem Makarim akan berlakukan sistem marketplace untuk rekrutmen guru Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) pada 2024. https://t.co/AKDZYAqknS"
130,Nadiem Rancang Rekrutmen Guru Berkonsep Marketplace https://t.co/8fsMFHHCb9
131,Mendikbud Nadiem Makarim rencanakan tetapkan sistem marketplace untuk melakukan perekrutan guru PPPK. https://t.co/0p7YXXZQis
132,"Mengupas Gagasan Marketplace Guru ala Mendikbud Nadiem Makariem untuk Mengangkat Guru Honorer menjadi PPPK https://t.co/KWGStUOwcZ
#mendikbud
#marketplaceguru 
#gntm"
133,Mengupas Gagasan &amp;#8216;Marketplace Guru&amp;#8217; ala Mendikbud Nadiem Makariem untuk Mengangkat Guru Honorer menjadi PPPK https://t.co/KWGStUOwcZ
134,"Hallo mas Nadiem, guru itu pahlawan tanpa tanda jasa, harusnya diseleksi labih dgn lbh ketat lagi agar bisa menghasilkan guru yg berkualitas lagi, lihatlah berapa bnyak guru melecehkan  siswa siswinya😥 
Marketplace bolehkah utk tempat barang saja?? Handphone misal🙏 https://t.co/gE6a3OSd5j"
135,Syarat Daftar Marketplace Guru yang dicanangkan Menteri Nadiem https://t.co/mEqE60cJey
136,"@DrEvaChaniago Nadiem hebat dong, Indonesia akan jadi negara pertama di dunia yang menyediakan guru (dan nantinya: dosen) di marketplace ..."
137,"Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi (Mendikbud Ristek), Nadiem Makarim, sedang membuat ‘marketplace guru’, platform baru untuk para guru. https://t.co/lIUkg7FDSo"
138,PAN Minta Mendikbud Ristek Nadiem Kaji Ulang Wacana Marketplace untuk Guru https://t.co/Igf4SjWVb1
139,"Kinerja Nadiem patut dievaluasi, saran saya Kemendikbud sudah tepat dipegang oleh warga Muhammadiyah yg sejak puluhan tahun berpengalaman membidani pendidikan. Dan PAN sbg agregasi politik warga Muhammadiyah, harusnya mengambil peran dalam kementerian ini. TOLAK MARKETPLACE GURU https://t.co/wxoqw9Wt6a"
140,"Apa Itu Marketplace Guru? Usulan Mendikbud Nadiem Makarim untuk Penuhi Kebutuhan Tenaga Pengajar
 
https://t.co/T5ViLiDqa3"
141,"Nadiem Makarim Bakal Pakai Sistem Marketplace untuk Rekrutmen Guru

#tripia #tripiaid #inanotherperspective #viral #fyp #nadiem #menteripendidikan #pendidikan #2024 #trending https://t.co/1N3LFUUpAB"
142,"Guru dipilih dipilih di marketplace..pak @Nadiem_Makarim tolonglah bahasa anda disesuaikan dengan profesi yang mulia ini ya, tanpa mereka anda bukanlah siapa2, meski anda sendiri produk luar"
143,"Mendikbud Ristek Nadiem Anwar Makarim mengatakan, marketplace guru dan dua pilar solusi lain diharapkan menjadi jalan keluar permanen dalam memenuhi formasi guru di Indonesia. https://t.co/62u7snxIJf"
144,"[#SEKILOFIP : SERBA-SERBI SISTEM MARKETPLACE GURU] 

Halo Mahasiswa FIP👋

Kali ini kami menyajikan sekilas informasi tentang konsep marketplace untuk guru, gagasan yang diungkapkan Mendikbud Ristek, Nadiem Makarim untuk memenuhi formasi guru di Indonesia. https://t.co/Io8WFW8c0X"
145,"Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi Nadiem Makarim menerapkan rekrutmen guru Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) melalui sistem marketplace mulai 2024. Dengan platform tersebut, semua sekolah dapat mengakses guru untuk mengajar di sekolah. https://t.co/1xofFmdPxO"
146,"Semenjak baca perubahan sistem perekrutan guru pns yang dimana harus ppg dan tes baru bisa masuk marketplace nya pak nadiem, malamku di penuhi ovt dan stress berat gmn ke depannya 😭😭"
147,"""Guru-guru honorer yang sudah lulus seleksi, mereka yang mengikuti seleksi untuk menjadi calon guru ASN. Semua guru honorer yang lulus seleksi dan lulusan PPG pra jabatan ini bisa mendaftarkan diri dalam marketplace,"" ujar Nadiem Makarim

#PikiranRakyat #PRMN #marketplace #Guru https://t.co/7OvIKwx7L1"
148,"Pagii Kamis pertama di Bulan Juni, semoga ada kabar baik buat Guru di Indonesia.

Mengenal Marketplace Guru, Gagasan Nadiem Makarim untuk Atasi Masalah Perekrutan Tenaga Pendidik https://t.co/XsnB8myrlK"
149,"“Marketplace untuk guru adalah suatu database yang nanti akan didukung secara teknologi, di mana semua sekolah ini bisa mengakses siapa saja yang bisa menjadi guru dan siapa yang saya mau undang untuk menjadi guru di sekolah saya,” ujar Nadiem Makarim.
#PikiranRakyat #GuruHonorer https://t.co/wIh3qnfDMx"
150,"Ragam Tanggapan Soal Marketplace Guru yang Nadiem Makarim Tawarkan, Warganet: Dapat Cashback Dong Ya? https://t.co/SL7gbiu8xl"
151,"Menurut Nadiem Makarim, marketplace guru ini akan membuat sekolah bisa melakukan rekruitmen realtime. Setelah direkrut, guru tersebut akan digaji dari pusat langsung, dananya dikirim langsung ke sekolah seperti dana bos. 

Prtnyaany siapa yang megang kuncinya 🤣

#eaaa @pppkguru"
152,"Mendikbud Nadiem Makarim Akan Pakai Sistem Marketplace untuk Perekrutan Guru, Berikut Penjelasannya

Selengkapnya klik link di bawah ini
https://t.co/02UzQQtZnF"
153,"Terbaru! Mendikbudristek Nadiem Makarim Bakal Terapkan Sistem Marketplace untuk Rekrutmen Guru, Berlaku 2024 https://t.co/6zjxgpydyA"
154,"Nadiem Makarim akan Rekrut Guru Melalui Marketplace, Gimana Caranya?
 
#PramborsNews 
https://t.co/Y5hRqIRgKn"
155,"Marketplace guru menjadi salah satu solusi yang ditawarkan Nadiem Makarim dan Kemendikbud Ristek yang bertujuan untuk memenuhi kebutuhan guru di Indonesia.
https://t.co/Q9E3yAZuWS"
156,"Nadiem Makarim Buat Sistem Rekrutmen Guru PPPK Melalui Marketplace, Begini Respons DPR https://t.co/7m3G4yYJ3r"
157,"Solusi Atasi Kekurangan Tenaga Pendidik ala Nadiem Makarim, Salah Satunya Bakal Ada Marketplace Guru https://t.co/SJscAeDUNp"
158,Ketua PGRI Jatim Dukung Program Menteri Nadiem “Marketplace Guru” target 1 juta guru lolos PPPK https://t.co/QIGbvnmZBM
159,"Tak Hanya Guru, Nadiem Makarim Sebut Marketplace Guru Bermanfaat bagi Sekolah: Nadiem Makarim menjelaskan, marketplace guru nantinya akan menjadi basis data yang di mana sekolah bisa mengakses setiap calon guru. https://t.co/7KnWHdWKs5"
160,"Mendikbud Ristek Nadiem Makarim Bakal Pakai Sistem Marketplace untuk Rekrutmen Guru, Apa Maksudnya? https://t.co/M4X0XGWo1D"
161,Mas Nadiem akan coba proses rekerutmen guru kyk di marketplace https://t.co/sorzQCZ3iY
162,"#NASIONAL 

Mendikbud Nadiem: Marketplace Guru Beri Manfaat Positif bagi Guru dan Sekolah
https://t.co/SnDW3xxa0m

#11N1"
163,"Tangani Masalah Perekrutan Guru, Nadiem Bakal Buat Marketplace Guru?

#marketplace #MarketplaceGuru

https://t.co/IzMnQ9Lbxv"
164,"Sistem ini rencananya mulai diberlakukan pada 2024 mendatang secara permanen. Nadiem menjabarkan tiga pilar solusi yang akan diterapkan pada 2024 sebagai sistem rekrutmen guru PPPK. Pertama, konsep marketplace untuk guru."
165,"Beberapa hari terakhir ramai diberitakan mengenai marketplace guru yang merupakan gagasan dari Menteri Pendidikan Kebudayaan Riset dan Teknologi (Mendikbudristek) Nadiem Makarim.

Tapi apa sebenarnya marketplace guru? Bagaimana sistemnya?  Baca disini ya!
https://t.co/1p5LqBZglU"
166,"Marketplace Guru Jadi Terobosan Baru Proses Rekrutmen Ala Nadiem Makarim, Sekolah Bisa Checkout Sesuka Hati 

Tag: iBox, Denny Indrayana, Cawe-cawe, Diabetes, Laurier
https://t.co/V6Ap587CkQ"
167,"Proskrip aja stress nya udah mau jungkir balik, belum ntr skripsian trs lulus malah dijual di marketplace bikinan bapak nadiem xixi gini amat mau jadi guru https://t.co/73YmQ43heA"
168,Marketplace guru wkwk nadiem semakin gajelas
169,"trobosannya pak nadiem tuh ada aja ya, skrng mau bikin marketplace guru"
170,Penasaran marketplace rancangan bapak nadiem ini bener akan mensejahterakan guru honorer gak?
171,"Masih galauin rancangan ""Marketplace guru"" ala bapak nadiem 🙂"
172,"siapa yang ke trigger gara2 statement nadiem makarim tentang Marketplace guru itu????

saya bang sayaa☝️☝️☝️"
173,"Mendikbudristek Nadiem Makarim Usulkan Marketplace Guru, Kontroversi Muncul https://t.co/nS52PNkfue"
174,"Marketplace Guru. Sebuah konsep yang digagas langsung oleh Mendikbud, Nadiem Anwar Makarim. Agaknya, konsep ini menuai banyak kritikan dari berbagai kalangan. Terutama, para lulusan sarjana pendidikan yang sekarang sedang berjuang untuk menuntaskan pendidikan PPG Prajabatan."
175,"Gw, bareng sama P3K, lulusan PPG Prajab bahkan yang sudah berkarir tahunan sebagai guru lagi nangiss. Udah tahunan mendidik dan berdedikasi dengan gaji ga manusiawi, ehh.. sama Nadiem mau di tarok di Marketplace nunggu di CO 🙄.  Ini kita mau jual diri paak ??"
176,"Harusnya profesi guru itu di naungi betul, bukan dijadikan objek proyek petinggi.
Ga worth it Ga fear juga. Gimana anak bangsa mau terdidik dan berkualitas, kalo pendidiknya saja dipersulit.
Marketplace nanti jadinya bukan solusi tapi proyek, Dipikir ulang lah pak Nadiem."
177,apa coba tbtb pa nadiem buat kebijakan “ marketplace guru ”...
178,"Cek di sini sistem rekrutmen marketplace guru ala Mendikbud Ristek Nadiem Makarim yang menuai kontroversi dari masyarakat. 

#MarketplaceGuru #guru #Mendikbudristek #NadiemMakarim #ASN https://t.co/qkX8awtOtl"
179,"Aku gak pernah nyesel kuliah di fakultas pendidikan, tapi semuanya berubah setelah nadiem bikin marketplace guru."
180,"Solusi Nadiem ini ada plus minusnya, plusnya guru2 banyak yang berkualitas (kalaupun sistemnya berjalan dengan jujur dan baik) dan guru yang terpilih dari marketplace auto ASN ceunah. Minusnya, banyak. Korupsi, kolusi, nepotisme gak akan terhindarkan."
181,"Guru menjadi objek Marketplace? Fungsi Dinas Pendidikan dan KemenPANRB dikemanakan ya, Pak @Nadiem_Makarim @kemenpendidikan ? Tidur ?
https://t.co/oMBIXN3sj4 https://t.co/7TEE0cGj5G"
182,@nurwaskita9 Sebenernya tujuan pak nadiem bagus ngilangin budaya honorer cuma diksinya aja gak cocok. Diluar negeri juga pakai sistem ini buat guru jadi sekolah gak bisa bayar guru seenaknya. Tapi dilihat lagi soalnya sekolah swasta apakah bisa menggaji guru sesuai gaji di marketplace
183,"@collegemenfess Dibandingkan menteri-menteri sebelumnya, Nadiem lah yang ngasih solusi konkrit atas permasalahan kesejahteraan guru. Frasa ""marketplace"" mah keseleo lidah ajaa ganti jadi frasa yang lebih populis juga selesai."
184,Baru-baru ini dunia pendidikan dihebobkan dengan isu Market Place guru. Banyak yang protes bahkan sampai bawa-bawa latar belakang pak Nadiem. Yang jadi pertanyaan adalah why? Kalian segitunya kah gak suka dikoreksi. Gini ya kalau seandainya marketplace ini penilaiannya-
185,"@collegemenfess Emang tujuan kebijakan Pak Nadiem ini bagus. Tapi alangkah baiknya menggunakan istilah yang lebih ngarah ke pendidikan. Kalo pake istilah ""marketplace"" kayak guru disamain sama barang dagangan 😌"
186,"Marketplace guru artinya? Program marketplace guru sedang viral yang disebutkan oleh Mendikbud Ristek Nadiem Makarim. Apakah dengan marketplace, guru otomatis jadi ASN?

#MarketplaceGuru #guru #Mendikbudristek #ASN https://t.co/ss0OhVTSig"
187,ini peraturan pendidikan di indonesia masih aneh aja. apalagi undang2 marketplace guru yg terbaru gagasannya nadiem. kalo gitu mending jadi guru di luar negeri aja.
188,Nah nadiem lu benerin goto sono. Gausah sok sok an bahasain gueu marketplace perekkrutana blablabla dikata guru mitra gojek
189,"Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan
https://t.co/ODxqCKHOWr"
190,"Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan https://t.co/JpYKpJ2558"
191,"Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan https://t.co/NYt9aOBqPr"
192,Pemerintah Segera Realisasi Konsep Marketplace Guru yang Digagas Nadiem https://t.co/g8UPfDHHUo
193,Nadiem Makarim Tawarkan Konsep Rekrutmen Guru lewat Marketplace https://t.co/a6E0IyXcou
194,"Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan https://t.co/9nk7us2DbZ"
195,"Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan
https://t.co/A3eNr5SuTA"
196,"Nah, Nadiem ini akan membuat sebuah marketplace dimana Pemda, sekolah bisa mencari guru sesuai dg kebutuhan."
197,"Masih ingat shadow super team-nya Nadiem? Kerjaannya ya gini, bikin apps receh yg nilai proyeknya fantastis. Cek aja nanti berapa nilai pengerjaan marketplace Guru."
198,@Kemdikbud_RI @nadiemmakarim Mas nadiem mau tanya kebijakan yang baru TENTANG marketplace guru terus gaji yang disalurkan ke sekolah apa gak rawan KKN..
199,"Penamaan Marketplace Guru Dikritik Anggota DPR, Nadiem Makarim: Kita Mengacu pada Database Talenta Guru: Mendikbudristek Nadiem Makarim bantah gagasan tiga pilar yang disampaikannya merupakan rencana baru. https://t.co/huKJeaIzfm"
200,"Nadiem Makarim ‘Lahirkan’ Marketplace Guru untuk Kurangi Guru Honorer, Anggota DPR: Jangan Ada Akrobat Lagi: Anggota DPR RI meminta Mendikbudristek Nadiem Makarim untuk tidak membuat gagasan baru di penghujung masa jabatannya. https://t.co/bfAy1JVjgm"
201,"Dulu yang diharapkan memberi angin perubahan, kini malah arahnya makin gak jelas. Fokuslah ke kesejahteraan tenaga pendidik dan pemerataan fasilitas pendidikan dulu.

Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan | Republika ID https://t.co/LGFr4qgM22"
202,"no i mean--kalo dia bilang ""MARKETPLACE"" ""SEMUA GURU MASUK KE RUANG"" ""SEKOLAH BISA REKRUT KAPAN AJA"" itu berarti bukan closed recruitment system kyk misal bumn atau pns kan dia NGEDAFTAR. ini DIMARKET sakit jiwa lu nadiem"
203,Mendikbudristek Nadiem Makarim Bakal Lakukan Rekrutmen Guru lewat Marketplace https://t.co/v0tMeNb1zD
204,"Mendikbudristek Nadiem Makarim menyiapkan 3 solusi untuk mempercepat perekrutan 1 juta PPPK guru yaitu marketplace guru, perekrutan oleh sekolah dan penempafan pada formasi kurang pemina https://t.co/0KQI4lhcPF"
205,Mendikbudristek Nadiem Makarim Luncurkan Marketplace Guru: Solusi Terkini Menghadapi Krisis Guru https://t.co/t1okUQggtY
206,"Mendikbudristek Nadiem Makarim Bakal Lakukan Rekrutmen Guru lewat Marketplace

https://t.co/XEiJ7Q0p0q"
207,"Jelang perekrutan 1 juta guru PPPK, Mendikbud Ristek Nadiem Makarim sudah menyiapkan strategi. Salah satunya dengan menciptakan marketplace guru. Teknisnya gimana ya?
https://t.co/QPwKWdobmv"
208,Nadiem Siapkan Marketplace Khusus Guru @jurnalguruid https://t.co/VVjiz8Pn20 #Guru @giazzOuell @masmerdi @mas_luc @OZANMEMBLE @SandraRatnasari @triantorahardjo @Vinzdevil @yustinaw @y_husada @FeryantoHadi @gurupenggerak @gtk_kemdikbud @gtk_madrasah @gtkdikmendiksus @DiktiVokasi
209,Nadiem Siapkan Marketplace Khusus Guru @jurnalguruid https://t.co/VVjiz8Pn20 #Guru @dewiambaratna @ladang17 @budimalau @ahbuch @akgni @herrybarus @roso_daras @aquarini @nirwarkot @pradanikribow @syafrilelain1 @nadiemmakarim @Kemdikbud_RI @gurupenggerak05 @humasdisdikkab1 https://t.co/Xd7abKHaEw
210,Wah! Nadiem Bakal Ciptakan Marketplace Khusus Guru https://t.co/CAbCl4bjvT
211,Dampak Marketplace Guru Terhadap Freshgraduate https://t.co/X5wLbfUoUX
212,"@worksfess Untuk kakaknya saran coba kerja tambahan kayak ngelesin diluar sekolah, sama jadi tutor online kayak ruang guru, dkk, bentar lagi juga ada marketplace. Soalnya sekarang guru"" pada beralih ke sana kak. Semangat ya kak semoga rezekinya dan pahala jariyahnya lancar terus Aamiin."
213,Mint Boho on Tocen NFT Marketplace https://t.co/LfwGzEDxYY
214,"Cukup dengan langkah kecil yaitu membaca dan menulis.   Maka dari itu, kami dari BEM HIU 2023. Memberikan wadah sebesar-besarnya untuk mahasiswa memberikan opininya mengenai suatu isu dengan tema ""Kebijakan PPPK dan Marketplace Guru, Nasib Guru Mau dibawa Kemana?"""
215,"@tempodotco Jangan ngomong pendidikan kelas dunia dulu, jika guru dibikin rendah profesinya dg model marketplace.

Marketplace mendegradasikan slogan ""guru pahlawan tanpa tanda jasa""."
